Platform: Windows | torch main-process threads: 5 | cpu_count: 6
Environment check completed in 0.01s
run_dir: trained\20260715_132120\smart_cuda_brake2
vec_env: DummyVecEnv
net_arch: [256, 256] | train_freq: 1 | gradient_steps: -1
arch: smart | features_dim: 256 | n_blocks: 2 | activation: relu | head net_arch: [256, 256]
    ep | steps |    reward |    r_pos |   r_fuel |   r_term |    noise |  dv/ref |  cur_d | docked | cur_prog |    ms/ep
  1720 |     3 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1494 |    3.60 |   30.0 |   0.0% |      0/8 |     10.5
  1730 |     2 |    -10.09 |   -10.09 |     0.00 |     0.00 |   0.1494 |    2.75 |   30.0 |  10.0% |     1/17 |      5.8
  1740 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1494 |    1.63 |   30.0 |   0.0% |      0/6 |      3.6
  1750 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1494 |    2.62 |   30.0 |   0.0% |     0/18 |      7.0
  1760 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1494 |    1.04 |   30.0 |   0.0% |      0/5 |      4.0
  1770 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1494 |    2.51 |   30.0 |   0.0% |     0/15 |      7.2
  1780 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1494 |    1.36 |   30.0 |   0.0% |      0/4 |      3.6
  1790 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1494 |    0.89 |   30.0 |  10.0% |     0/14 |      3.4
  1800 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1494 |    2.17 |   30.0 |   0.0% |      0/4 |      7.0
  1810 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1494 |    0.69 |   30.0 |   0.0% |     0/15 |    327.0
  1820 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1494 |    1.49 |   30.0 |   0.0% |      0/2 |      3.2
  1830 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1494 |    3.08 |   30.0 |  10.0% |     1/12 |      7.3
  1840 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1493 |    2.11 |   30.0 |  10.0% |      0/0 |      6.9
