Platform: Windows | torch main-process threads: 5 | cpu_count: 6
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:317: UserWarning: WARN: A Box observation space minimum value is -infinity. This is probably too low.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:321: UserWarning: WARN: A Box observation space maximum value is infinity. This is probably too high.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:440: UserWarning: WARN: Not able to test alternative render modes due to the environment not having a spec. Try instantiating the environment through `gymnasium.make`
  logger.warn(
Environment check completed in 0.04s
run_dir: trained\20260715_122429\smart_cuda_brake
vec_env: DummyVecEnv
net_arch: [256, 256] | train_freq: 1 | gradient_steps: -1
arch: smart | features_dim: 256 | n_blocks: 2 | activation: relu | head net_arch: [256, 256]
    ep | steps |    reward |    r_pos |   r_fuel |   r_term |    noise |  dv/ref |  cur_d | docked | cur_prog |    ms/ep
  1520 |     3 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1495 |    3.58 |   30.0 |  10.0% |      0/0 |    191.2
  1530 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1495 |    1.50 |   30.0 |   0.0% |      0/9 |   1687.2
  1540 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1495 |    1.89 |   30.0 |   0.0% |     0/19 |    455.6
  1550 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1495 |    1.87 |   30.0 |  10.0% |      1/8 |     25.1
  1560 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1495 |    1.81 |   30.0 |  20.0% |     3/18 |    118.0
  1570 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1494 |    1.51 |   30.0 |   0.0% |      0/5 |     73.2
  1580 |     4 |     -2.36 |    -2.36 |     0.00 |     0.00 |   0.1494 |    3.18 |   30.0 |   0.0% |     0/17 |    525.5
  1590 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1494 |    0.71 |   30.0 |   0.0% |      0/8 |     54.7
  1600 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1494 |    1.10 |   30.0 |   0.0% |     0/16 |     53.4
  1610 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1494 |    0.79 |   30.0 |   0.0% |      0/5 |     78.1
